pos_v2;tras_original;titulo;concepto;archivo_commons;autor;licencia;px;url
164;108;Sin viento, la pendiente manda;Sin forzamiento sinóptico el viento a media llama puede ser mínimo y la pendiente aportar el equivalente a 20 o 30 km/h: el terreno gobierna el viento efectivo.;2018 06 20-14.19.51.436-CDT.jpg;Bureau of Land Management;Public domain;3264x2448;https://commons.wikimedia.org/wiki/File:2018_06_20-14.19.51.436-CDT.jpg
166;109;;Vientos anabático y catabático de ladera, y el sistema mayor de valle: arriba de día, abajo de noche, con inercia distinta.;Flickr - Nicholas T - Upslope (1).jpg;Nicholas A. Tonelli from Pennsylvania, USA;CC BY 2.0;4196x2950;https://commons.wikimedia.org/wiki/File:Flickr_-_Nicholas_T_-_Upslope_(1).jpg
170;112;Al atardecer el aire baja;Las dos transiciones diarias del viento de ladera son los momentos peligrosos: la dirección cambia 180° y el fuego que subía empieza a bajar hacia la línea.;Fires and Smoke in Southeast Asia (MODIS).jpg;MODIS Land Rapid Response Team, NASA GSFC;Public domain;5758x4402;https://commons.wikimedia.org/wiki/File:Fires_and_Smoke_in_Southeast_Asia_(MODIS).jpg
172;113;;Onda de montaña y rotor: el aire estable forzado sobre la barrera oscila a sotavento, y dentro del rotor el viento en superficie puede ir al revés que el sinóptico.;Stacked formation of lenticular clouds - NOAA.jpg;;Public domain;1804x1208;https://commons.wikimedia.org/wiki/File:Stacked_formation_of_lenticular_clouds_-_NOAA.jpg
177;117;Puelche y Raco: el mismo mecanismo;Puelche y Raco son ondas de montaña y flujo de paso montañoso reales, tipo föhn, ya modelados para Chile con analogía hidráulica válida.;Nubes lentiformes (29976427793).jpg;Patricio Novoa Quezada from Valparaíso, Chile;CC BY 2.0;2048x1365;https://commons.wikimedia.org/wiki/File:Nubes_lentiformes_(29976427793).jpg
179;118;El viento se desacopla del suelo;Al ponerse el sol la capa de 200 a 500 m se desacopla del rozamiento del suelo y aparece un maximo de viento nocturno sobre una superficie en calma.;Night and Stars - Flickr - snowpeak.jpg;John Fowler from Placitas, NM, USA;CC BY 2.0;7360x4912;https://commons.wikimedia.org/wiki/File:Night_and_Stars_-_Flickr_-_snowpeak.jpg
181;119;La actividad nocturna que no debía ocurrir;Un incendio activo perfora la inversion nocturna, acopla el momentum del nivel del jet a la superficie y se reactiva de noche sin que cambie nada en la carta.;California Brush Fire night.jpg;Russ Allison Loar;CC BY-SA 4.0;6000x4000;https://commons.wikimedia.org/wiki/File:California_Brush_Fire_night.jpg
183;120;El jet costero es otro mecanismo;El maximo nocturno chileno no es el jet clasico: existen el Raco, topografico e hidraulico, y el jet costero, oceanico. Son mecanismos distintos y se pronostican mirando cosas distintas.;Wave Clouds behind Amsterdam Island.jpg;NASA Goddard Photo and Video;CC BY 2.0;8573x5715;https://commons.wikimedia.org/wiki/File:Wave_Clouds_behind_Amsterdam_Island.jpg
188;124;El número depende de dónde se mide;"El viento que empuja la llama depende de la altura y del intervalo en que se mide; saber que cifra se esta usando es parte del analisis.";Equipment on this tower monitors meteorological conditions, more commonly known as the weather. It is important to have a good (8188a8d7-85e9-4892-8191-3388b95b84a2).jpg;Mary O'Neill;Public domain;3456x3252;https://commons.wikimedia.org/wiki/File:Equipment_on_this_tower_monitors_meteorological_conditions,_more_commonly_known_as_the_weather._It_is_important_to_have_a_good_(8188a8d7-85e9-4892-8191-3388b95b84a2).jpg
190;125;;Separador de bloque: el repertorio completo de situaciones. Ningun analista trabaja siempre con la misma, y el pais entero no comparte la misma.;Caribbean sunrise and dramatic cloudscape.jpg;ImagePerson;CC BY 4.0;5176x2504;https://commons.wikimedia.org/wiki/File:Caribbean_sunrise_and_dramatic_cloudscape.jpg
194;128;;El pavesado como diagnostico sin instrumentos: en un incendio dominado por viento las pavesas caen a sotavento, en una sola direccion definida.;Knisternd.JPG;Hans;CC BY-SA 4.0;4592x3448;https://commons.wikimedia.org/wiki/File:Knisternd.JPG
196;129;El mismo incendio cambia de tipología;Un mismo incendio puede pasar de dominado por viento a dominado por columna cuando la capa de mezcla se profundiza en la tarde.;Russia TMO 2010216 lrg.jpg;Jeff Schmaltz;Public domain;12000x7400;https://commons.wikimedia.org/wiki/File:Russia_TMO_2010216_lrg.jpg
202;134;En la estepa el viento no cesa;En la macrozona austral mandan los vientos del oeste persistentes: el fohn es de componente oeste y el ciclo diario de ladera y valle pierde importancia frente al flujo sinoptico.;Altocumulus stratiformis, am Rand in Altocumulus lenticularis übergehend.jpg;GerritR;CC BY-SA 4.0;5664x4248;https://commons.wikimedia.org/wiki/File:Altocumulus_stratiformis,_am_Rand_in_Altocumulus_lenticularis_%C3%BCbergehend.jpg
204;135;Fuego sin llama, bajo tierra, durante meses;"El control real del fuego en turba es el nivel freatico; la combustion latente subterranea puede durar meses y reaparecer mucho despues de darse el fuego por extinguido.";Peatland Forest fires.jpg;Muhammad Pasya Ramadhan;CC BY-SA 4.0;4160x3120;https://commons.wikimedia.org/wiki/File:Peatland_Forest_fires.jpg
207;137;"El mecanismo existe; el registro no";En Coquimbo y Atacama el Terral es un mecanismo plausible pero sin ningun incendio documentado atribuido a el: corresponde formularlo como pregunta abierta, no como supuesto.;Dust storm over the Mediterranean Sea (MODIS 2016-05-16).jpg;Jeff Schmaltz, MODIS Land Rapid Response Team, NASA GSFC;Public domain;5200x4000;https://commons.wikimedia.org/wiki/File:Dust_storm_over_the_Mediterranean_Sea_(MODIS_2016-05-16).jpg
212;141;;La misma situacion sinoptica se comporta distinto en cada territorio: canalizacion por quebradas en Valparaiso, estado del combustible en el norte, westerlies y turba en el sur.;Smoke plumes from the August Complex and other fires filling valleys, California, USA - September 4th, 2020 (50308264506).jpg;Pierre Markuse from Hamm, Germany;CC BY 2.0;5600x5032;https://commons.wikimedia.org/wiki/File:Smoke_plumes_from_the_August_Complex_and_other_fires_filling_valleys,_California,_USA_-_September_4th,_2020_(50308264506).jpg
215;143;No es un solo país de incendios;Chile no es un solo pais de incendios: un caso es un ejemplo, no el temario, y la tipologia se identifica antes que el dato.;Andes Cordillera, Chile.jpg;Coordenação-Geral de Observação da Terra/INPE;CC BY-SA 2.0;3044x1713;https://commons.wikimedia.org/wiki/File:Andes_Cordillera,_Chile.jpg
217;144;;La atmosfera tiene estructura vertical y el fuego, cuando se pone serio, se va hacia arriba.;Cumulonimbus cloud over the Sundarbans, West Bengal, India 02.jpg;Kingshuk Mondal;CC BY 4.0;6000x4000;https://commons.wikimedia.org/wiki/File:Cumulonimbus_cloud_over_the_Sundarbans,_West_Bengal,_India_02.jpg
221;147;Cada torre es una burbuja que subió;Una porcion de aire que queda mas calida que su entorno flota y sigue subiendo: eso es inestabilidad.;Cloud capped (33658161420).jpg;Christian Collins from Midland, MI, United States;CC BY-SA 2.0;4683x3122;https://commons.wikimedia.org/wiki/File:Cloud_capped_(33658161420).jpg
224;149;La atmósfera viene en capas;La inestabilidad no es un estado del dia sino de cada capa: un mismo sondeo tiene capas distintas apiladas.;Mt Vesuvius emerging from low-level clouds (Copernicus).jpg;European Union, Copernicus Sentinel-2 imagery;Attribution;4000x2540;https://commons.wikimedia.org/wiki/File:Mt_Vesuvius_emerging_from_low-level_clouds_(Copernicus).jpg
229;153;Cuatro sondeos para todo el país;El primer paso de todo sondeo es preguntar de donde viene: en Chile solo hay cuatro radiosondeos y los cuatro son costeros.;Radiosondes launch.jpg;Tsaud;CC BY-SA 4.0;5688x3000;https://commons.wikimedia.org/wiki/File:Radiosondes_launch.jpg
231;154;;"CAPE es la energia que la columna puede convertir en ascenso; CIN es la tapa que hay que romper primero.";Cumulonimbus cloud over Africa.jpg;NASA;Public domain;3032x2008;https://commons.wikimedia.org/wiki/File:Cumulonimbus_cloud_over_Africa.jpg
233;155;La tapa aguanta hasta que se rompe;Con CAPE alto y CIN alto no pasa nada durante horas, y cuando la tapa se rompe la energia se libera de golpe.;Cumulus stratocumulus.JPG;Janne Naukkarinen;Public domain;2048x1536;https://commons.wikimedia.org/wiki/File:Cumulus_stratocumulus.JPG
237;158;Hasta dónde sube y hacia dónde va;"La altura de mezcla es hasta donde sube el humo con facilidad; el viento de transporte es hacia donde lo lleva esa capa.";Wildfire in Yellowstone National Park produces Pyrocumulus clouds1.jpg;Brocken Inaglory;CC BY-SA 3.0;2000x1225;https://commons.wikimedia.org/wiki/File:Wildfire_in_Yellowstone_National_Park_produces_Pyrocumulus_clouds1.jpg
241;161;El incendio perfora la tapa;Un incendio grande aporta su propio calor y perfora la tapa que el sondeo decia que existia.;Pyrocumulus cloud, Beaver complex fire 2014.jpg;James Haseltine, Oregon Air National Guard;Public domain;2375x1583;https://commons.wikimedia.org/wiki/File:Pyrocumulus_cloud,_Beaver_complex_fire_2014.jpg
243;162;La lluvia se evapora antes de llegar;El perfil de V invertida: capa baja profunda y seca bajo humedad en niveles medios, donde la lluvia se evapora y el aire frio cae acelerando.;Florescent cloud blanket.jpg;Jessie Eastland;CC BY-SA 4.0;4288x2381;https://commons.wikimedia.org/wiki/File:Florescent_cloud_blanket.jpg
